wind_speed_10m_ms,wind_gusts_10m_ms
1.490,3.500
1.830,3.500
2.270,4.500
1.760,3.200
2.660,5.200
2.060,5.400
1.630,3.700
2.520,4.400
2.940,5.600
3.080,6.300
3.960,8.600
3.180,9.000
3.570,7.900
3.620,8.200
4.530,10.000
5.430,12.300
5.880,13.100
5.420,12.900
5.150,12.100
5.340,11.600
5.040,11.400
4.210,10.400
3.010,8.300
2.970,6.300
2.830,5.800
3.410,6.100
3.350,6.200
4.370,8.100
4.920,9.200
4.950,10.700
5.020,9.700
3.960,9.400
4.500,8.600
3.780,8.900
5.140,10.600
5.080,11.300
5.010,11.500
5.390,12.200
5.450,12.400
5.390,12.400
5.170,12.300
5.030,11.700
5.120,11.400
4.950,11.200
4.650,10.300
3.360,9.300
3.120,6.600
2.620,6.200
2.410,5.100
2.300,4.800
2.300,4.500
2.620,5.400
3.130,6.000
3.250,6.600
3.030,6.500
2.970,6.000
3.380,6.600
4.220,8.800
3.900,9.100
4.250,9.800
4.520,10.600
4.550,10.800
5.050,11.500
5.440,13.200
5.640,12.200
6.240,13.600
6.390,13.500
5.210,13.700
5.370,10.500
6.950,12.500
5.660,12.700
5.380,10.600
3.420,9.600
2.900,6.000
2.680,5.100
2.450,4.800
1.780,4.300
1.460,2.800
1.540,1.900
1.460,2.100
2.270,4.200
2.150,4.700
2.400,5.500
3.180,7.500
4.460,9.900
6.650,14.100
5.980,14.100
7.400,17.300
5.880,15.400
6.140,12.800
6.270,15.300
8.830,17.500
8.460,17.500
7.690,16.000
7.340,14.500
6.820,13.800
6.460,12.900
4.260,11.700
4.080,7.900
3.440,6.600
3.730,7.600
3.510,7.400
3.150,6.900
3.340,6.600
3.810,7.500
4.740,9.800
5.360,11.500
6.050,13.100
6.200,13.700
6.300,13.700
6.710,14.600
6.680,14.500
6.440,14.300
5.890,13.800
5.580,13.300
5.710,12.700
4.540,11.700
3.820,9.200
3.100,7.700
2.140,6.200
3.210,6.100
3.200,6.800
2.850,6.300
2.140,4.900
1.970,4.000
1.920,3.600
1.250,3.400
1.490,2.000
2.150,3.800
3.000,6.500
3.310,7.700
3.700,8.600
4.220,9.900
4.140,10.000
4.140,10.100
4.010,10.000
3.980,9.700
3.190,9.500
2.270,7.700
1.760,5.900
1.150,4.600
0.290,2.700
0.050,0.600
0.470,0.900
1.310,2.100
1.610,2.800
1.600,2.800
1.660,2.900
1.930,3.600
2.160,4.000
2.470,4.600
2.660,5.000
3.080,5.800
2.360,5.200
2.860,6.800
3.360,8.100
3.940,9.300
4.130,9.700
4.770,11.100
5.020,11.000
4.400,11.300
3.680,10.000
3.150,8.300
3.390,7.700
3.660,7.400
3.370,7.300
3.310,6.700
3.570,6.900
3.500,7.100
3.270,6.900
3.360,6.600
3.210,7.100
2.760,6.300
2.790,5.600
2.940,6.000
3.000,5.900
3.480,6.700
3.920,7.800
3.820,8.600
3.860,9.000
3.560,9.100
3.510,8.800
3.650,9.100
3.640,9.200
3.650,9.000
3.200,8.900
2.910,7.800
2.720,7.100
2.100,6.500
0.740,4.700
0.530,1.300
0.320,1.000
0.270,0.600
0.820,1.300
0.780,1.700
0.710,1.100
0.850,1.400
1.180,1.800
1.430,2.300
1.530,2.700
1.390,3.400
1.210,3.500
1.860,5.200
2.730,7.100
3.220,8.200
3.850,9.300
4.540,10.800
4.300,10.300
3.950,10.200
4.150,10.000
3.860,9.800
3.010,9.000
2.630,7.000
1.450,5.600
1.660,3.100
1.800,3.400
1.930,3.500
2.050,3.900
1.770,3.900
1.850,2.900
1.820,3.100
1.650,3.200
0.960,2.300
0.430,1.400
1.760,2.700
1.140,3.300
1.210,4.200
1.270,4.700
1.520,5.300
1.970,6.300
2.470,7.200
2.540,7.300
2.660,7.400
2.590,7.400
2.590,7.100
2.650,6.800
2.500,6.400
1.820,5.400
1.600,3.600
1.550,3.100
1.870,3.600
1.860,3.800
1.650,3.500
1.650,3.200
1.550,2.900
1.510,2.700
1.510,2.500
1.460,2.500
1.480,3.000
1.050,3.400
1.120,4.000
1.180,4.500
1.150,4.500
1.650,5.400
2.070,6.200
1.900,6.000
1.840,6.000
2.070,6.000
2.210,6.100
2.230,5.900
1.890,5.500
2.350,4.600
3.120,6.100
2.780,6.100
2.620,5.400
1.920,5.200
2.350,4.300
2.980,5.900
2.600,6.100
2.110,4.900
2.540,4.700
2.660,6.000
2.300,4.900
2.480,5.900
1.750,5.100
2.130,5.800
2.450,6.600
2.600,6.900
3.140,7.900
3.090,8.300
2.820,7.800
2.350,7.100
1.960,6.200
1.860,5.200
2.120,4.800
1.700,4.800
1.630,3.500
1.680,2.900
1.580,2.800
1.350,2.500
0.990,2.100
0.360,1.300
0.270,0.600
0.250,0.600
0.320,0.500
1.190,1.400
2.160,3.900
1.670,4.300
1.700,5.000
1.590,5.100
1.410,5.300
1.500,5.200
1.350,5.300
1.770,6.000
3.820,9.400
2.360,9.500
2.350,6.200
1.820,6.000
0.300,4.400
1.620,3.900
1.390,3.500
0.890,3.100
1.000,1.500
2.420,4.200
1.660,5.600
0.250,1.600
1.360,2.400
2.500,5.000
1.340,4.500
2.870,6.000
1.950,5.000
1.840,4.400
2.160,5.400
2.590,6.500
3.000,7.400
3.560,8.700
4.050,10.000
3.940,9.700
3.870,9.800
3.680,9.500
3.100,8.900
2.720,7.600
2.640,6.500
1.470,5.700
1.150,3.000
1.380,2.600
1.370,2.600
0.910,2.300
0.800,1.600
1.610,2.500
1.680,2.700
0.980,2.600
0.990,1.400
0.960,1.500
1.500,2.700
1.210,3.500
1.230,4.100
1.470,4.900
1.850,5.600
2.780,7.200
2.750,7.800
2.620,7.200
3.220,8.200
3.500,8.700
3.770,8.900
3.470,8.800
2.960,7.900
2.610,6.500
2.260,5.500
2.680,5.300
3.060,6.400
3.050,6.400
2.950,6.500
2.620,6.000
2.260,5.300
2.060,4.600
2.590,5.200
2.960,6.000
3.340,6.900
