DIN,DIP
0.060359228,3.02578955884028e-06
0.059529047,2.04355195568741e-05
0.059307117,3.71527131052304e-05
0.059892371,5.40936948444575e-05
0.061073411,7.15379606378203e-05
0.062481966,8.95534407298305e-05
0.063790366,0.000108061
0.065087818,0.000128053
0.066303626,0.000148982
0.067051232,0.000168587
0.067498572,0.000186943
0.06780573,0.000204326
0.067745157,0.00021756
0.067371123,0.000227947
0.066801473,0.000237719
0.066828579,0.000250608
0.067640208,0.000267
0.068620801,0.00028622
0.069434918,0.000305874
0.069490664,0.000319949
0.069334649,0.000336667
0.069496274,0.000356816
0.06979391,0.000376454
0.07018248,0.00039237
0.065385066,2.65475990220117e-06
0.065914124,1.84286111537011e-05
0.066053823,3.37784007441615e-05
0.066073954,4.89094203646008e-05
0.066230036,6.41776025049709e-05
0.06628833,7.96496234137388e-05
0.065616675,9.61323135358208e-05
0.064609274,0.000114194
0.063547805,0.000127936
0.062376291,0.000144884
0.061686475,0.000165575
0.061794575,0.000181735
0.062761314,0.000190989
0.06423334,0.000200901
0.065457568,0.000212571
0.06618993,0.000222857
0.066445649,0.000234886
0.066252872,0.000249769
0.065565057,0.000268274
0.064187825,0.000290084
0.062843859,0.000334165
0.062071405,0.000399576
0.061680302,0.000484272
0.062708765,0.0006039
0.051979922,3.11577432423014e-06
0.053654727,2.08947063125984e-05
0.055612851,3.66387959312056e-05
0.057121202,5.22699589279499e-05
0.057842609,7.30733914564325e-05
0.057867054,0.000105201
0.05758572,0.000158447
0.057958961,0.000287774
0.05930521,0.000458068
0.061301403,0.000658034
0.064231575,0.000924443
0.068914123,0.001329595
0.071738318,0.00155606
0.071372844,0.001473123
0.069105059,0.001233276
0.066913471,0.001027041
0.065617763,0.000902773
0.065510295,0.000888213
0.066669598,0.000995716
0.069561802,0.00125668
0.075917825,0.001807839
0.08592844,0.002743305
0.098639324,0.003929717
0.109926224,0.004852726
0.027562279,3.02507794708864e-06
0.049410336,0.000900034
0.059468634,0.001539052
0.064413428,0.001915912
0.066294447,0.002044931
0.067123324,0.002051883
0.06932722,0.00223666
0.073601179,0.002632974
0.079261482,0.003101758
0.083187208,0.003375565
0.085155919,0.00344468
0.089357086,0.00359364
0.093263,0.003740394
0.094982639,0.003770656
0.095178872,0.003719395
0.094342992,0.003658989
0.092457429,0.003627445
0.089584611,0.003604497
0.087247908,0.003530041
0.087638319,0.003545749
0.090618156,0.0036462
0.094119556,0.00375402
0.09878172,0.00399074
0.104115859,0.004262369
