# time, data
0.00000,1010.00000
0.16667,1010.02803
0.33333,1008.98235
0.50000,1009.95793
0.66667,1012.56026
0.83333,1010.60648
1.00000,1009.51307
1.16667,1009.09677
1.33333,1009.49981
1.50000,1010.86911
1.66667,1013.00517
1.83333,1012.51500
2.00000,1009.14821
2.16667,1008.15497
2.33333,1007.25618
2.50000,1008.91000
2.66667,1010.90233
2.83333,1010.94324
3.00000,1011.15763
3.16667,1010.01452
3.33333,1009.74599
3.50000,1010.75587
3.66667,1011.08444
3.83333,1010.69421
4.00000,1010.15335
4.16667,1009.76830
4.33333,1010.57198
4.50000,1010.08040
4.66667,1010.48213
4.83333,1010.44265
5.00000,1009.79351
5.16667,1010.57519
5.33333,1009.72264
5.50000,1011.24463
5.66667,1013.38711
5.83333,1010.86043
6.00000,1008.52937
6.16667,1007.70429
6.33333,1007.66919
6.50000,1009.49541
6.66667,1010.53784
6.83333,1010.28848
7.00000,1007.87882
7.16667,1009.02477
7.33333,1009.77268
7.50000,1009.36037
7.66667,1009.76538
7.83333,1009.24176
8.00000,1008.90064
8.16667,1008.53911
8.33333,1008.22099
8.50000,1009.59294
8.66667,1011.92405
8.83333,1009.36800
9.00000,1008.72758
9.16667,1008.52781
9.33333,1009.01448
9.50000,1010.71462
9.66667,1012.54325
9.83333,1011.91841
10.00000,1011.71699
10.16667,1009.85392
10.33333,1010.09221
10.50000,1009.53268
10.66667,1012.39278
10.83333,1011.87096
11.00000,1010.95131
11.16667,1008.91174
11.33333,1006.62365
11.50000,1008.40863
11.66667,1010.42222
11.83333,1010.17366
12.00000,1008.99411
12.16667,1007.95182
12.33333,1008.55644
12.50000,1009.57107
12.66667,1010.91252
12.83333,1009.91661
13.00000,1010.46691
13.16667,1009.60835
13.33333,1009.31711
13.50000,1009.47476
13.66667,1010.53529
13.83333,1010.46987
14.00000,1011.29901
14.16667,1010.00753
14.33333,1008.86283
14.50000,1010.15061
14.66667,1010.34889
14.83333,1011.76025
15.00000,1011.81689
15.16667,1009.70737
15.33333,1009.50851
15.50000,1010.44433
15.66667,1010.32179
15.83333,1008.88547
16.00000,1009.36715
16.16667,1010.41333
16.33333,1009.81280
16.50000,1009.28808
16.66667,1010.45392
16.83333,1011.06753
17.00000,1009.36792
17.16667,1007.82615
17.33333,1009.18123
17.50000,1010.20989
17.66667,1011.67783
17.83333,1010.30403
18.00000,1009.23430
18.16667,1008.94666
18.33333,1009.73829
18.50000,1009.70608
18.66667,1010.56284
18.83333,1009.00083
19.00000,1007.31094
19.16667,1008.01688
19.33333,1007.47845
19.50000,1009.17002
19.66667,1010.17134
19.83333,1011.90169
20.00000,1010.93957
20.16667,1011.13374
20.33333,1009.69312
20.50000,1010.10399
20.66667,1010.98066
20.83333,1010.66549
21.00000,1008.03021
21.16667,1008.28427
21.33333,1009.59919
21.50000,1011.21370
21.66667,1011.47798
21.83333,1010.13197
22.00000,1009.09189
22.16667,1009.42921
22.33333,1008.58075
22.50000,1010.40402
22.66667,1010.42345
22.83333,1010.97197
23.00000,1011.40088
23.16667,1011.38308
23.33333,1011.21207
23.50000,1010.98910
23.66667,1011.77180
23.83333,1011.15535
24.00000,1009.39525
24.16667,1009.35177
24.33333,1009.08710
24.50000,1010.55844
24.66667,1011.23184
24.83333,1010.03549
25.00000,1010.03674
25.16667,1007.15954
25.33333,1008.93807
25.50000,1011.16917
25.66667,1010.90283
25.83333,1011.06232
26.00000,1010.35716
26.16667,1010.39351
26.33333,1010.58580
26.50000,1012.15446
26.66667,1010.35615
26.83333,1012.14250
27.00000,1012.53016
27.16667,1011.40354
27.33333,1009.34594
27.50000,1009.26422
27.66667,1011.08192
27.83333,1010.80534
28.00000,1011.03909
28.16667,1010.80485
28.33333,1011.07363
28.50000,1012.25025
28.66667,1012.80046
28.83333,1013.23355
29.00000,1011.90203
29.16667,1009.96861
29.33333,1009.62371
29.50000,1009.50666
29.66667,1010.86721
29.83333,1009.47327
30.00000,1010.95232
30.16667,1010.45074
