time,acceleration
66720.001,-0.447958
66720.021,-0.452749
66720.041,-0.45754
66720.061,-0.452749
66720.081,-0.464727
66720.101,-0.462331
66720.121,-0.452749
66720.141,-0.450354
66720.161,-0.445563
66720.181,-0.447958
66720.201,-0.435981
66720.221,-0.440772
66720.241,-0.445563
66720.261,-0.443167
66720.281,-0.443167
66720.301,-0.443167
66720.321,-0.459936
66720.341,-0.464727
66720.361,-0.45754
66720.381,-0.443167
66720.401,-0.440772
66720.421,-0.447958
66720.441,-0.452747151
66720.461,-0.440772
66720.481,-0.447958
66720.501,-0.443167
66720.521,-0.445563
66720.541,-0.443167
66720.561,-0.445563
66720.581,-0.440772
66720.601,-0.452749
66720.621,-0.450354
66720.641,-0.450354
66720.661,-0.452749
66720.681,-0.447958
66720.701,-0.459936
66720.721,-0.459936
66720.741,-0.445563
66720.761,-0.447958
66720.781,-0.447958
66720.801,-0.455145
66720.821,-0.447958
66720.841,-0.452749
66720.861,-0.455145
66720.881,-0.455145
66720.901,-0.447958
66720.921,-0.450354
66720.941,-0.445563
66720.961,-0.424003
66720.981,-0.450354
66721.001,-0.455145
66721.021,-0.440772
66721.041,-0.440772
66721.061,-0.440772
66721.081,-0.43119
66721.101,-0.428794
66721.121,-0.447958
66721.141,-0.445563
66721.161,-0.455145
66721.181,-0.455145
66721.201,-0.453225557
66721.221,-0.439151703
66721.241,-0.445020411
66721.261,-0.462543715
66721.281,-0.446584413
66721.30099,-0.452484896
66721.321,-0.445563
66721.341,-0.446217787
66721.361,-0.462785037
66721.381,-0.45947879
66721.401,-0.449879849
66721.421,-0.445797695
66721.441,-0.452730453
66721.461,-0.44807021
66721.481,-0.457933162
66721.501,-0.457221177
66721.521,-0.452877744
66721.541,-0.451866235
66721.561,-0.425658378
66721.581,-0.432032266
66721.601,-0.44587773
66721.621,-0.442737795
66721.641,-0.433137994
66721.661,-0.428891811
66721.681,-0.433710829
66721.701,-0.433667488
66721.721,-0.435901389
66721.741,-0.4310143
66721.761,-0.431289695
66721.781,-0.436512204
66721.801,-0.442753708
66721.821,-0.425909399
66721.841,-0.429151672
66721.861,-0.436512552
66721.881,-0.442837565
66721.901,-0.439437598
66721.921,-0.469810023
66721.941,-0.45231838
66721.961,-0.460102135
66721.981,-0.45240997
66722.001,-0.452913938
66722.021,-0.452427381
66722.041,-0.445555138
66722.061,-0.450434948
66722.081,-0.445176401
66722.101,-0.440801344
66722.121,-0.44590319
66722.141,-0.453172511
66722.161,-0.454510344
66722.181,-0.438196817
66722.201,-0.445652267
66722.221,-0.440866376
66722.241,-0.445164202
66722.261,-0.428341806
66722.281,-0.434155179
66722.301,-0.440756949
66722.321,-0.441288866
66722.341,-0.455351544
66722.361,-0.444756845
66722.381,-0.433336925
66722.401,-0.436445815
66722.421,-0.448572527
66722.441,-0.452285884
66722.461,-0.438037697
66722.481,-0.443687363
66722.501,-0.447650356
66722.521,-0.438263358
66722.541,-0.443311665
66722.561,-0.440612984
66722.581,-0.443694923
66722.601,-0.45541745
66722.621,-0.455235939
66722.641,-0.457279509
66722.661,-0.450518109
66722.681,-0.462793536
66722.701,-0.462023769
66722.721,-0.452007122
66722.741,-0.440798224
66722.761,-0.453562344
66722.781,-0.462265791
66722.801,-0.457601038
66722.821,-0.459449015
66722.841,-0.448305488
66722.861,-0.467523012
66722.881,-0.456814061
66722.901,-0.45036071
66722.921,-0.455573178
66722.941,-0.459652079
66722.961,-0.45023865
66722.981,-0.455277074
66723.001,-0.455415969
66723.021,-0.45947134
66723.041,-0.442801663
66723.061,-0.448245416
66723.081,-0.445084775
66723.101,-0.441304308
66723.121,-0.455069035
66723.141,-0.440333948
66723.161,-0.446095209
66723.181,-0.45009932
66723.201,-0.445980642
66723.221,-0.454549571
66723.241,-0.43075528
66723.261,-0.443969008
66723.281,-0.450419362
66723.301,-0.453087802
66723.321,-0.457212305
66723.341,-0.439789627
66723.361,-0.43432289
66723.381,-0.45276711
66723.401,-0.443585862
66723.421,-0.465055322
66723.441,-0.449436092
66723.461,-0.446105072
66723.481,-0.46303497
66723.501,-0.46968174
66723.521,-0.469182917
66723.541,-0.459605822
66723.561,-0.46022546
66723.581,-0.461877854
66723.601,-0.444790043
66723.621,-0.438399881
66723.641,-0.443573373
66723.661,-0.447744731
66723.681,-0.443545729
66723.701,-0.46058796
66723.721,-0.459339014
66723.741,-0.442264563
66723.761,-0.431122571
66723.781,-0.438970829
66723.801,-0.445404975
66723.821,-0.435533783
66723.841,-0.436553471
66723.861,-0.447996076
66723.881,-0.443398259
66723.901,-0.452607543
66723.921,-0.437817346
66723.941,-0.441476094
66723.961,-0.449942382
66723.981,-0.430485171
66724.001,-0.428915496
66724.021,-0.434217296
66724.041,-0.448250191
66724.061,-0.442661606
66724.081,-0.435897368
66724.101,-0.438568232
66724.121,-0.443577274
66724.141,-0.447560176
66724.161,-0.438734369
66724.181,-0.458144239
66724.201,-0.457497011
66724.221,-0.459879592
66724.241,-0.452228597
66724.261,-0.448318487
66724.281,-0.4546682
66724.301,-0.438312333
66724.321,-0.450576732
66724.341,-0.445691615
66724.361,-0.452456694
66724.381,-0.438182557
66724.401,-0.448480897
66724.421,-0.447424391
66724.441,-0.430163573
66724.461,-0.422352304
66724.481,-0.448784116
66724.501,-0.447667101
66724.521,-0.445523567
66724.541,-0.442896675
66724.561,-0.438402218
66724.581,-0.44340252
66724.601,-0.44287944
66724.621,-0.435759734
66724.641,-0.436128069
66724.661,-0.441158976
66724.681,-0.445303532
66724.701,-0.43580934
66724.721,-0.443877371
66724.741,-0.449836841
66724.761,-0.430559774
66724.781,-0.431495696
66724.801,-0.438914038
66724.821,-0.442485342
66724.841,-0.426637434
66724.861,-0.454230419
66724.881,-0.464202503
66724.901,-0.447646305
66724.921,-0.450108871
66724.941,-0.438126999
66724.961,-0.443453156
66724.981,-0.442954991
66725.001,-0.446504045
66725.021,-0.464527703
66725.041,-0.445139766
66725.061,-0.453037664
66725.081,-0.450271464
66725.101,-0.455598575
66725.121,-0.456866069
66725.141,-0.440720465
66725.161,-0.453120319
66725.181,-0.447478495
66725.201,-0.443277598
66725.221,-0.448065182
66725.241,-0.44810199
66725.261,-0.447273063
66725.281,-0.433923001
66725.301,-0.453044025
66725.321,-0.440103781
66725.341,-0.441442828
66725.361,-0.449843282
66725.381,-0.430916337
66725.401,-0.441150573
66725.421,-0.438124931
66725.441,-0.435888658
66725.461,-0.43903326
66725.481,-0.452813145
66725.501,-0.44557031
66725.521,-0.455533183
66725.541,-0.452177324
66725.561,-0.440445407
66725.581,-0.440942428
66725.601,-0.445961566
66725.621,-0.44725144
66725.641,-0.434097698
66725.661,-0.463457726
66725.681,-0.46695508
66725.701,-0.461800985
66725.721,-0.45562016
66725.741,-0.466607158
66725.761,-0.44546737
66725.781,-0.462789379
66725.801,-0.454668052
66725.821,-0.450024228
66725.841,-0.443150763
66725.861,-0.453626641
66725.881,-0.461707379
66725.901,-0.44036622
66725.921,-0.448259289
66725.941,-0.442638843
66725.961,-0.441525206
66725.981,-0.454575905
66726.001,-0.430998594
66726.021,-0.451286273
66726.041,-0.455093663
