Year;Day
1917;119
1918;130
1919;122
1920;130
1921;130
1922;131
1923;128
1924;130
1925;126
1926;115
1927;132
1928;125
1929;124
1930;127
1931;129
1932;120
1933;127
1934;119
1935;134
1936;119
1937;131
1938;125
1939;118
1940;109
1941;122
1942;119
1943;117
1944;123
1945;135
1946;124
1947;122
1948;132
1949;133
1950;125
1951;119
1952;131
1953;118
1954;125
1955;128
1956;120
1957;124
1958;118
1959;127
1960;121
1961;124
1962;131
1963;124
1964;139
1965;126
1966;127
1967;123
1968;127
1969;117
1970;123
1971;127
1972;129
1973;123
1974;125
1975;129
1976;121
1977;125
1978;119
1979;119
1980;118
1981;119
1982;129
1983;118
1984;128
1985;130
1986;127
1987;124
1988;116
1989;120
1990;113
1991;120
1992;133
1993;112
1994;118
1995;115
1996;124
1997;119
1998;109
1999;118
2000;120
2001;127
2002;126
2003;118
2004;113
2005;117
2006;121
2007;116
2008;125
2009;120
2010;118
2011;123
2012;112
2013;139
2014;114
2015;113
2016;112
2017;120
2018;120
2019;103
2020;116
2021;119
2022;121
2023;127
2024;116
2025;116
