,Dates,Day of Year,Observations[m]
0,2024-01-01,1.0,9.993293125597491
1,2024-01-02,2.0,9.987340100848405
2,2024-01-03,3.0,9.956694160985075
3,2024-01-04,4.0,9.982986711360967
4,2024-01-05,5.0,9.99564325368829
5,2024-01-06,6.0,9.978706496482385
6,2024-01-07,7.0,9.996649213001389
7,2024-01-08,8.0,9.997428085702749
8,2024-01-09,9.0,9.998972466083313
9,2024-01-10,10.0,9.999372598594112
10,2024-01-11,11.0,10.011546117457542
11,2024-01-12,12.0,10.026131362495292
12,2024-01-13,13.0,9.996621180604379
13,2024-01-14,14.0,10.029509252589573
14,2024-01-15,15.0,10.020479500076528
15,2024-01-16,16.0,10.0266692624606
16,2024-01-17,17.0,10.005862864746911
17,2024-01-18,18.0,10.027836499981422
18,2024-01-19,19.0,10.050953193340254
19,2024-01-20,20.0,10.015342186312793
20,2024-01-21,21.0,10.0047061674097
21,2024-01-22,22.0,10.011033324747455
22,2024-01-23,23.0,10.04396603348701
23,2024-01-24,24.0,10.078520079803253
24,2024-01-25,25.0,10.062351301161867
25,2024-01-26,26.0,10.073315652594236
26,2024-01-27,27.0,10.052424214137435
27,2024-01-28,28.0,10.074598086688615
28,2024-01-29,29.0,10.052231328385469
29,2024-01-30,30.0,10.06815098792036
30,2024-01-31,31.0,10.057577236133255
31,2024-02-01,32.0,10.055962835977619
32,2024-02-02,33.0,10.068790192289823
33,2024-02-03,34.0,10.062236359311637
34,2024-02-04,35.0,10.09156653263859
35,2024-02-05,36.0,10.077407802572557
36,2024-02-06,37.0,10.083011329825261
37,2024-02-07,38.0,10.074451865602818
38,2024-02-08,39.0,10.100854378545563
39,2024-02-09,40.0,10.07350164340602
40,2024-02-10,41.0,10.096841667084943
41,2024-02-11,42.0,10.08411540401035
42,2024-02-12,43.0,10.077710710482641
43,2024-02-13,44.0,10.086869475458926
44,2024-02-14,45.0,10.084531733370872
45,2024-02-15,46.0,10.095785091581813
46,2024-02-16,47.0,10.09624743724312
47,2024-02-17,48.0,10.108360239520287
48,2024-02-18,49.0,10.114482425957245
49,2024-02-19,50.0,10.106105700036503
50,2024-02-20,51.0,10.11022483664711
51,2024-02-21,52.0,10.117230905273255
52,2024-02-22,53.0,10.107062158018786
53,2024-02-23,54.0,10.128033482038514
54,2024-02-24,55.0,10.132280181517624
55,2024-02-25,56.0,10.124921343343463
56,2024-02-26,57.0,10.159994196704952
57,2024-02-27,58.0,10.14002681875955
58,2024-02-28,59.0,10.126757512530009
59,2024-02-29,60.0,10.125171015219236
60,2024-03-01,61.0,10.12926864957239
61,2024-03-02,62.0,10.127358728591533
62,2024-03-03,63.0,10.153935409644484
63,2024-03-04,64.0,10.128641214574309
64,2024-03-05,65.0,10.13998209470975
65,2024-03-06,66.0,10.135335942334185
66,2024-03-07,67.0,10.161030536653517
67,2024-03-08,68.0,10.1261078750033
68,2024-03-09,69.0,10.143983214700677
69,2024-03-10,70.0,10.1496127202568
70,2024-03-11,71.0,10.15823841898173
71,2024-03-12,72.0,10.162354591748551
72,2024-03-13,73.0,10.154183425588366
73,2024-03-14,74.0,10.174221875540553
74,2024-03-15,75.0,10.166058934937128
75,2024-03-16,76.0,10.20029059168757
76,2024-03-17,77.0,10.142575589551447
77,2024-03-18,78.0,10.176420424027276
78,2024-03-19,79.0,10.153331869638478
79,2024-03-20,80.0,10.158922633123636
