speedpv,tailgatepv,passduration
18.180,11.340,5.48
26.530,46.060,5.25
22.090,33.280,2.60
23.850,35.280,3.60
18.020,16.080,4.20
34.050,110.750,4.88
22.470,27.400,4.39
20.000,19.310,3.64
25.440,54.140,4.70
16.830,11.930,8.15
23.450,20.740,3.91
34.320,33.010,2.70
35.780,74.500,4.95
21.470,25.060,4.90
32.670,52.940,4.28
25.040,20.360,4.58
27.820,55.110,2.70
22.640,23.460,4.67
29.840,49.480,4.75
23.140,22.620,4.08
29.900,18.750,2.21
32.650,31.070,3.03
22.200,18.990,3.88
23.060,14.290,5.30
23.550,52.450,3.74
31.600,40.140,3.15
21.530,28.330,4.30
29.140,28.440,3.80
19.630,15.920,2.70
31.770,29.580,3.99
22.020,26.130,4.48
21.730,14.140,2.91
19.490,11.120,4.32
19.190,22.140,4.32
18.600,26.050,5.39
23.690,35.690,4.79
22.730,30.100,4.27
20.070,10.990,3.33
18.690,12.080,7.21
17.240,12.510,5.45
17.360,13.060,4.32
28.250,40.090,3.02
17.960,15.630,3.35
16.770,16.010,4.75
21.740,23.930,7.30
18.440,14.570,5.55
20.230,55.090,4.82
17.110,12.060,6.79
18.920,14.980,5.26
22.760,14.460,3.37
22.510,17.190,4.60
23.870,16.600,4.65
24.200,18.600,5.40
22.410,13.770,3.70
23.880,11.520,3.73
23.080,12.780,3.40
17.290,14.430,4.65
17.930,12.160,5.15
17.560,13.640,3.44
17.310,12.870,4.07
17.260,11.990,4.12
17.620,13.260,5.14
18.190,11.270,3.80
17.830,11.230,4.20
16.140,13.470,4.82
18.370,10.330,3.80
17.860,12.330,4.18
16.530,13.700,5.27
16.370,12.890,5.28
17.610,13.950,5.25
27.900,10.960,5.37
22.870,16.630,2.50
23.380,12.480,3.45
22.630,13.380,4.33
22.290,7.260,5.73
26.330,37.190,2.30
22.800,14.450,4.90
23.500,14.420,3.30
27.680,18.130,3.71
22.840,12.260,8.31
26.070,30.800,5.78
23.150,11.510,6.07
22.760,10.170,4.56
24.160,9.130,3.85
25.850,25.600,2.45
17.310,11.250,3.88
22.640,19.510,4.50
17.680,8.570,5.03
16.860,8.200,5.25
22.120,31.290,3.63
18.500,15.650,5.12
17.280,9.870,4.35
15.890,9.610,3.33
18.850,12.640,3.30
16.820,9.530,4.43
17.520,9.650,4.27
22.190,14.610,1.75
17.210,14.630,4.22
16.550,9.020,4.43
19.690,11.780,4.06
19.430,8.600,2.80
18.230,7.550,3.62
17.060,15.940,6.91
23.650,42.550,5.96
16.820,9.670,5.30
19.160,9.050,5.61
16.870,15.600,6.44
25.540,66.360,11.74
16.860,19.750,4.85
18.620,26.930,10.10
16.680,20.140,6.86
23.180,32.810,8.55
23.090,46.720,3.27
17.460,10.770,6.00
17.340,11.780,4.37
18.400,10.720,3.06
26.450,54.440,3.87
16.400,10.070,2.78
17.600,17.370,3.29
17.680,12.550,5.00
21.720,12.910,7.70
23.250,44.650,6.78
22.680,13.110,7.23
25.190,45.990,3.62
17.290,9.020,7.75
26.520,46.250,5.93
24.990,39.600,3.57
15.240,9.140,6.95
17.450,12.310,4.75
17.620,12.260,7.11
16.780,10.580,6.31
17.430,19.320,4.01
18.270,16.060,5.01
16.830,15.650,3.85
17.050,9.580,3.97
17.750,10.110,3.74
17.670,9.310,3.38
29.540,33.860,3.73
27.380,21.600,3.20
24.780,16.130,3.90
24.000,13.810,3.52
28.050,40.750,3.63
22.860,12.420,3.60
29.620,25.020,2.95
24.890,13.960,3.62
23.350,12.660,4.30
23.870,12.700,2.70
23.310,10.740,3.85
21.200,14.650,2.96
20.570,13.090,3.85
23.790,21.390,2.68
17.490,10.300,3.66
21.810,23.160,2.80
